Policy,colbert,sparse,dense,sparse+dense,colbert+sparse+dense
Abnormality Detection,0.7838151494661967,0.20304768880208332,0.7540201822916667,0.5703626732031505,0.655743682384491
Anatomical Findings,0.6589420487483343,0.10890034039815268,0.6293375651041667,0.4558584858973821,0.537091921766599
Close-ended,0.7050150314966838,0.14883626302083333,0.6796468098958334,0.5027099579572678,0.5836319963137309
Disease Classification,0.6970636993646622,0.15214640299479168,0.6918538411458334,0.5119513601064682,0.5859963019688924
Error Identification,0.6882880687713623,0.12804508209228516,0.6897216796875,0.5024961511294047,0.5768129338820775
Explanation Generation,0.7717097222805023,0.17417805989583332,0.7474609375,0.5563666423161825,0.6425038854281108
Fact-based,0.7034441312154134,0.15680338541666666,0.6717610677083333,0.5001085062821706,0.581442775328954
Findings Generation,0.6602919201056162,0.08065388997395834,0.6360026041666667,0.4508863608042399,0.5346485952536265
Impression Generation,0.7466437538464864,0.17303263346354167,0.75166015625,0.5587843169768651,0.633928100268046
Impression Summary,0.7275707403818766,0.1372894287109375,0.71455078125,0.5221303343772888,0.6043065090974172
Inference Making,0.7824542502562205,0.22074991861979168,0.7757486979166667,0.5907491068045299,0.6674311757087708
Inference-based,0.7916782021522522,0.21860148111979166,0.7757649739583333,0.5900438020626704,0.6706975817680358
Matching,0.7471778909365336,0.21437581380208334,0.7059244791666667,0.5420749207337697,0.6241161187489828
Object Detection,0.6798412303129832,0.11680704752604167,0.6611083984375,0.4796746154626211,0.5597412685553232
Open-ended,0.6868604838848114,0.09621022740999857,0.6970865885416667,0.49679446816444395,0.5728208839893341
Quality Assessment,0.6702143847942352,0.08434499104817708,0.6509765625,0.4620993693669637,0.5453453888495763
Selection,0.6479221602280935,0.09597015380859375,0.625634765625,0.44907989303270973,0.5286168088515599
View Classification,0.7544441044330596,0.16321504910786946,0.7276692708333333,0.539517859617869,0.6254883666833242
